Symbol,Icon,Name,Asset Type,Sector,Sub Sector,Units,Avg. Price,Current Price,Annual Dividend Per Unit,Franking %
CBA.AX,🟡,Commonwealth Bank,Share,Financials,Bank,200,88.50,131.48,4.24,100
BHP.AX,🟠,BHP Group,Share,Resources,Mining,150,40.20,48.17,2.31,100
WDS.AX,🔴,Woodside Energy,Share,Energy,Energy,400,28.10,28.97,1.54,100
WES.AX,🟢,Wesfarmers,Share,Industrials,Retail,100,56.30,66.42,2.12,100
VAS.AX,🔴,Vanguard Aus Shares ETF,ETF,ETFs,Australian ETF,500,88.60,95.21,4.72,75
VGS.AX,🔴,Vanguard Intl Shares ETF,ETF,ETFs,International ETF,300,102.30,111.92,4.94,0
VHY.AX,🔴,Vanguard Aus High Yield ETF,ETF,ETFs,Dividend ETF,400,68.20,71.45,4.45,80
A200.AX,🔵,Betashares Australia 200 ETF,ETF,ETFs,Australian ETF,250,118.00,132.60,5.20,75
IVV.AX,🔵,iShares S&P 500 ETF,ETF,International Shares,US ETF,80,43.00,58.90,0.86,0
NAB.AX,🟡,National Australia Bank,Share,Financials,Bank,180,29.10,37.25,1.72,100
TCL.AX,🟣,Transurban,Share,Infrastructure,Infrastructure,450,13.10,12.80,0.62,0
CASH,🔵,Cash Position,Cash,Cash,Cash,1,12000.00,12000.00,240.00,0
